dt_referencia;no_indice;nu_indice;var_diaria_perc;var_mensal_perc;var_anual_perc;var_ult_12_meses_perc;var_ult_24_meses_perc;peso_perc;duration_du;carteira_mercado_reais_mil;nu_operacoes;qt_negociada_1000_tit;vr_negociado_reais_mil;pmr;convexidade;yield;redemption_yield
2017-05-16;IRF-M;10.225,542168000000;0,2171;1,4072;7,9779;18,5521;37,0963;36,40;602.0;1.149.412.049;210;8.569,05;8.027.595,65;922.0;10,2886;9,3098;9,4603
2017-05-16;IRF-M 1;9.281,889745000000;0,0528;0,6415;5,0330;13,9536;30,7704;9,30;133.0;293.531.139;49;2.330,72;2.275.314,09;193.0;0,7366;9,3498;9,0517
2017-05-16;IRF-M 1+;11.078,385675000000;0,2736;1,6739;9,0459;20,4189;40,2527;27,11;763.0;855.880.909;161;6.238,34;5.752.281,56;1.172;13,5645;9,2961;9,4847
2017-05-16;IMA-GERAL;4.553,304987000000;0,3395;1,6268;7,3957;16,3265;34,2717;100,00;900.0;3.157.416.292;2.353;15.096,96;29.084.863,60;1.554;46,6118;--;--
2017-05-16;IMA-GERAL ex-C;4.523,445653000000;0,3287;1,6237;7,3928;16,6093;34,3421;96,50;877.0;3.046.908.818;2.353;15.096,96;29.084.863,60;1.52;46,1143;--;--
2017-05-16;IMA-B 5;4.880,184963000000;0,1786;0,9271;5,8046;13,0103;33,0049;9,28;671.0;293.070.010;1.340;5.094,74;15.875.768,59;986.0;10,4341;4,7363;4,8011
2017-05-16;IMA-C;5.246,817638000000;0,6368;1,7084;7,4053;9,3575;32,1237;3,50;1.541;110.507.474;--;--;--;2.488;60,3285;5,1857;4,9997
2017-05-16;IMA-B;5.350,222828000000;0,7660;3,0654;9,8151;17,5868;37,2661;29,51;2.124;931.838.769;1.971;6.439,61;20.280.412,99;3.832;138,0928;4,9078;4,9574
2017-05-16;IMA-B 5+;6.300,072791000000;1,0378;4,0923;11,8624;20,1197;40,6502;20,23;2.7910000000000004;638.768.759;1.212;3.654,33;11.693.969,09;5.1370000000000005;196,6632;4,9864;4,9746
2017-05-16;IMA-S;3.922,266497000000;0,0424;0,4682;4,3536;13,2926;29,0053;30,58;1.0;965.658.000;172;88,29;776.854,96;1.0;0,0000;--;--
2017-05-17;IRF-M;10.215,767036000000;-0,0956;1,3103;7,8746;18,6324;36,9652;36,40;600.0;1.148.313.265;269.0;12.784,83;12.405.050,68;920.0;10,2321;9,3483;9,5201
2017-05-17;IRF-M 1+;11.062,877959000000;-0,1400;1,5316;8,8932;20,5671;40,0564;27,09;761.0;854.682.832;199.0;6.162,72;5.923.129,83;1.171;13,4967;9,3479;9,5479
2017-05-17;IMA-S;3.923,960321000000;0,0432;0,5116;4,3986;13,2821;29,0610;30,62;1.0;966.075.018;246.0;198,34;1.745.504,47;1.0;0,0000;--;--
2017-05-17;IMA-GERAL ex-C;4.519,820779000000;-0,0801;1,5423;7,3067;16,6590;34,2344;96,49;874.0;3.044.467.169;1.608;17.548,25;28.691.885,84;1.516;45,8151;--;--
2017-05-17;IRF-M 1;9.285,029555000000;0,0338;0,6755;5,0686;13,9524;30,8146;9,31;132.0;293.630.433;70.0;6.622,12;6.481.920,85;192.0;0,7297;9,3493;9,0529
2017-05-17;IMA-C;5.250,681462000000;0,0736;1,7833;7,4843;9,3962;32,2210;3,51;1.541;110.588.853;1.0;0,40;2.402,49;2.488;60,3506;5,1773;4,9856
2017-05-17;IMA-B 5+;6.283,044602000000;-0,2703;3,8109;11,5601;20,2682;40,2701;20,19;2.784;637.042.259;838.0;3.039,76;9.829.918,52;5.132999999999999;195,7242;5,0165;5,0043
2017-05-17;IMA-GERAL;4.549,901247000000;-0,0748;1,5509;7,3154;16,3746;34,1713;100,00;897.0;3.155.056.023;1.609;17.548,65;28.694.288,33;1.55;46,3246;--;--
2017-05-17;IMA-B;5.340,118329000000;-0,1889;2,8708;9,6077;17,6296;37,0069;29,48;2.1180000000000003;930.078.886;1.093;4.565,08;14.541.330,69;3.826;137,3356;4,9331;4,9860
2017-05-17;IMA-B 5;4.879,629078000000;-0,0114;0,9156;5,7926;12,9475;32,9897;9,29;670.0;293.036.627;640.0;3.093,86;9.678.551,33;985.0;10,4027;4,7517;4,8214
2017-05-18;IMA-B;4.938,511601000000;-7,5206;-4,8657;1,3646;9,7912;27,7030;28,30;1.956;860.131.758;815.0;3.389,82;10.741.933,83;3.685;117,2235;5,9909;6,0132
2017-05-18;IRF-M 1+;10.563,623896000000;-4,5129;-3,0504;3,9790;15,7687;34,0575;26,85;744.0;816.112.048;207.0;7.624,42;6.541.158,71;1.155;12,5470;11,0295;11,2565
2017-05-18;IMA-C;4.951,746071000000;-5,6933;-4,0115;1,3650;3,6781;25,2844;3,43;1.485;104.292.733;1.0;0,40;2.411,99;2.451;56,1158;6,1628;6,0139
2017-05-18;IRF-M 1;9.239,551757000000;-0,4898;0,1824;4,5539;13,3488;30,1378;9,61;130.0;292.192.240;42.0;2.699,52;2.612.048,60;191.0;0,7065;10,3183;10,1661
2017-05-18;IMA-GERAL;4.382,849264000000;-3,6716;-2,1776;3,3753;12,5883;29,6577;100,00;817.0;3.039.216.505;1.28;13.872,42;21.289.848,77;1.456;38,5383;--;--
2017-05-18;IRF-M;9.859,834206000000;-3,4842;-2,2195;4,1161;14,9076;32,3802;36,47;582.0;1.108.304.288;249.0;10.323,95;9.153.207,32;901.0;9,4253;10,8420;11,1921
2017-05-18;IMA-GERAL ex-C;4.357,192478000000;-3,5981;-2,1113;3,4457;12,9465;29,8085;96,57;793.0;2.934.923.772;1.2790000000000001;13.872,02;21.287.436,78;1.42;37,9137;--;--
2017-05-18;IMA-B 5;4.746,898083000000;-2,7201;-1,8294;2,9149;10,0061;29,6702;9,38;664.0;285.065.726;570.0;2.453,05;7.690.585,41;979.0;10,0608;5,8762;5,9346
2017-05-18;IMA-B 5+;5.671,783124000000;-9,7287;-6,2886;0,7067;10,1307;27,9111;18,92;2.596;575.066.033;539.0;2.252,16;7.218.565,57;5.026;170,3450;6,0478;6,0232
2017-05-18;IMA-S;3.925,636638000000;0,0427;0,5545;4,4432;13,2706;29,0529;31,80;1.0;966.487.726;215.0;158,25;1.392.295,63;1.0;0,0000;--;--
2017-05-19;IRF-M;9.928,369979000000;0,6951;-1,5398;4,8398;15,4275;33,1840;36,38;583.0;1.116.008.119;152;8.556,46;7.451.163,91;902.0;9,5127;10,4824;10,8818
2017-05-19;IRF-M 1;9.261,371993000000;0,2362;0,4190;4,8009;13,5510;30,3881;9,55;129.0;292.882.285;50;4.291,19;4.151.240,89;190.0;0,7057;9,9250;9,7428
2017-05-19;IRF-M 1+;10.654,409218000000;0,8594;-2,2172;4,8726;16,3740;35,0572;26,83;745.0;823.125.834;102;4.265,27;3.299.923,02;1.155;12,6463;10,6807;10,9522
2017-05-19;IMA-B 5;4.786,679155000000;0,8380;-1,0066;3,7774;10,8235;30,8653;9,37;664.0;287.454.701;807;3.360,22;10.184.050,31;979.0;10,1141;5,5221;5,6177
2017-05-19;IMA-B 5+;5.832,337767000000;2,8308;-3,6358;3,5574;12,5759;31,6680;19,28;2.6460000000000004;591.344.780;896;2.846,26;8.633.811,46;5.055;176,9926;5,7705;5,7426
2017-05-19;IMA-GERAL ex-C;4.396,953481000000;0,9125;-1,2180;4,3897;13,7028;30,9699;96,55;813.0;2.961.706.044;1.563;13.103,17;22.950.623,84;1.444;39,9051;--;--
2017-05-19;IMA-GERAL;4.423,586939000000;0,9295;-1,2684;4,3361;13,3572;30,8458;100,00;836.0;3.067.465.393;1.563;13.103,17;22.950.623,84;1.479;40,5010;--;--
2017-05-19;IMA-C;5.021,379975000000;1,4062;-2,6617;2,7904;4,7914;27,1613;3,45;1.499;105.759.349;--;--;--;2.46;57,1884;5,9469;5,7463
2017-05-19;IMA-S;3.927,304880000000;0,0425;0,5972;4,4876;13,2591;29,0443;31,52;1.0;966.898.445;290;297,85;2.621.913,14;1.0;0,0000;--;--
2017-05-19;IMA-B;5.045,693738000000;2,1703;-2,8010;3,5646;11,7251;30,6018;28,65;1.9980000000000002;878.799.480;1.121;4.248,86;12.877.546,79;3.721;122,4068;5,6892;5,7290
2017-05-22;IRF-M;9.870,219287000000;-0,5857;-2,1165;4,2258;14,4140;31,5646;36,30;579.0;1.109.471.633;537;20.472,86;16.282.507,45;895.0;9,3578;10,7163;11,1812
2017-05-22;IRF-M 1+;10.569,826571000000;-0,7939;-2,9935;4,0401;14,9681;32,7802;26,72;741.0;816.591.247;509;19.316,13;15.156.146,85;1.15;12,4638;10,9766;11,2656
2017-05-22;IMA-S;3.928,971240000000;0,0424;0,6399;4,5319;13,2473;28,9093;31,65;1.0;967.308.701;295;225,02;1.982.219,28;1.0;0,0000;--;--
2017-05-22;IRF-M 1;9.261,311959000000;-0,0006;0,4184;4,8002;13,4946;30,1562;9,58;128.0;292.880.386;28;1.156,72;1.126.360,61;187.0;0,6979;9,9905;9,8237
2017-05-22;IMA-B 5;4.774,263483000000;-0,2594;-1,2634;3,5082;10,5535;29,8985;9,38;662.0;286.709.102;980;3.897,48;11.847.267,86;975.0;10,0488;5,6232;5,7391
